# Energy[keV] nuFnu[keV2/keV/cm2/s] R G B
# 0.000 0.000 0.000
6.59362 0.00491556 0.000 0.000 1.000
6.63324 0.00491556 0.000 0.000 1.000
6.67309 0.00438701 0.000 0.000 1.000
6.71319 0.00484891 0.000 0.000 1.000
6.75353 0.0045704 0.000 0.000 1.000
6.7941 0.00433739 0.000 0.000 1.000
6.83493 0.0047076 0.000 0.000 1.000
6.876 0.00438701 0.000 0.000 1.000
6.91355 0.00463322 0.000 0.000 1.000
6.95509 0.00461218 0.000 0.000 1.000
6.99688 0.00449819 0.000 0.000 1.000
7.03509 0.0042981 0.000 0.000 1.000
7.0735 0.00425916 0.000 0.000 1.000
7.11601 0.00408826 0.000 0.000 1.000
7.15487 0.00398722 0.000 0.000 1.000
7.19394 0.00442712 0.000 0.000 1.000
7.23716 0.00449819 0.000 0.000 1.000
7.27669 0.00464377 0.000 0.000 1.000
7.31642 0.00433739 0.000 0.000 1.000
7.35638 0.00393316 0.000 0.000 1.000
7.39655 0.00369882 0.000 0.000 1.000
7.43694 0.00423982 0.000 0.000 1.000
7.47755 0.00351025 0.000 0.000 1.000
7.51839 0.00393316 0.000 0.000 1.000
7.55533 0.00405122 0.000 0.000 1.000
7.59659 0.00334648 0.000 0.000 1.000
7.63807 0.00416335 0.000 0.000 1.000
7.6756 0.00392422 0.000 0.000 1.000
7.71752 0.00387102 0.000 0.000 1.000
7.75544 0.00383595 0.000 0.000 1.000
7.79779 0.00382723 0.000 0.000 1.000
7.8361 0.00369882 0.000 0.000 1.000
7.8789 0.00372415 0.000 0.000 1.000
7.91761 0.00380985 0.000 0.000 1.000
7.95651 0.00386222 0.000 0.000 1.000
7.99996 0.00397816 0.000 0.000 1.000
8.0568 0.00316145 0.000 0.000 1.000
8.11847 0.00403283 0.000 0.000 1.000
8.15836 0.00396911 0.000 0.000 1.000
8.2208 0.00310443 0.000 0.000 1.000
8.29726 0.00339247 0.000 0.000 1.000
8.379 0.00329361 0.000 0.000 1.000
8.46154 0.00352626 0.000 0.000 1.000
8.54024 0.00319035 0.000 0.000 1.000
8.61968 0.00295959 0.000 0.000 1.000
8.69985 0.00347054 0.000 0.000 1.000
8.78077 0.00338477 0.000 0.000 1.000
8.86244 0.00297986 0.000 0.000 1.000
8.94488 0.00337707 0.000 0.000 1.000
9.02316 0.00351025 0.000 0.000 1.000
9.10213 0.0032049 0.000 0.000 1.000
9.18179 0.0030277 0.000 0.000 1.000
9.26214 0.00347845 0.000 0.000 1.000
9.3432 0.00297309 0.000 0.000 1.000
9.42497 0.00316145 0.000 0.000 1.000
9.50746 0.00302082 0.000 0.000 1.000
9.58544 0.00271447 0.000 0.000 1.000
9.66933 0.00293946 0.000 0.000 1.000
9.74865 0.00292612 0.000 0.000 1.000
9.85004 0.00274553 0.000 0.000 1.000
9.94708 0.00311859 0.000 0.000 1.000
10.0287 0.00309034 0.000 0.000 1.000
10.1109 0.0030346 0.000 0.000 1.000
10.1939 0.00354234 0.000 0.000 1.000
10.2943 0.00277694 0.000 0.000 1.000
10.4127 0.00313995 0.000 0.000 1.000
10.5325 0.00291947 0.000 0.000 1.000
10.6536 0.00279596 0.000 0.000 1.000
10.7762 0.00293278 0.000 0.000 1.000
10.9001 0.00268988 0.000 0.000 1.000
11.0195 0.00286681 0.000 0.000 1.000
11.1584 0.00269601 0.000 0.000 1.000
11.299 0.00329361 0.000 0.000 1.000
11.4228 0.00321952 0.000 0.000 1.000
11.5667 0.00258195 0.000 0.000 1.000
11.7445 0.00254694 0.000 0.000 1.000
11.9444 0.00265341 0.000 0.000 1.000
12.1478 0.00257608 0.000 0.000 1.000
12.3546 0.00261149 0.000 0.000 1.000
12.5513 0.00284084 0.000 0.000 1.000
12.7581 0.00301396 0.000 0.000 1.000
12.9965 0.00279596 0.000 0.000 1.000
13.261 0.00278326 0.000 0.000 1.000
13.5236 0.0027896 0.000 0.000 1.000
13.7914 0.00295287 0.000 0.000 1.000
14.0721 0.00282794 0.000 0.000 1.000
14.3977 0.00298665 0.000 0.000 1.000
14.7228 0.00342349 0.000 0.000 1.000
15.1045 0.00264738 0.000 0.000 1.000
15.5299 0.00337707 0.000 0.000 1.000
15.9586 0.00304844 0.000 0.000 1.000
16.3902 0.00370725 0.000 0.000 1.000
16.7694 0.00404202 0.000 0.000 1.000
