

#   Phi[rad]  Energy[keV]            I          Q/I
      1.0472      2.12953       1936.2     -0.85564
      1.0472      2.23092      1879.11    -0.853395
      1.0472      2.33715      1815.45    -0.850952
      1.0472      2.44844      1746.28    -0.848337
      1.0472      2.56502      1673.13    -0.845635
      1.0472      2.68716       1597.1    -0.842899
      1.0472      2.81511      1518.19    -0.840036
      1.0472      2.94915      1436.43    -0.836943
      1.0472      3.08958      1351.99    -0.833515
      1.0472      3.23669      1265.22    -0.829635
      1.0472      3.39081      1176.62    -0.825195
      1.0472      3.55226      1086.84    -0.820138
      1.0472      3.72141      996.747    -0.814335
      1.0472       3.8986      907.347    -0.807697
      1.0472      4.08424      819.807    -0.800186
      1.0472      4.27871      735.391    -0.791818
      1.0472      4.48245      655.374      -0.7827
      1.0472      4.69588      580.739    -0.772979
      1.0472      4.91948      511.964     -0.76273
      1.0472      5.15372      449.316    -0.752063
      1.0472      5.39912       392.88    -0.741125
      1.0472      5.65621      342.548    -0.730092
      1.0472      5.92553      298.019    -0.719121
      1.0472      6.20768      258.816     -0.70829
      1.0472      6.50326       224.33    -0.697523
      1.0472      6.81292      193.914    -0.686569
      1.0472      7.13732      167.034    -0.675154
      1.0472      7.47717      143.295    -0.663069
      1.0472       7.8332      122.393    -0.650186
      1.0472      8.20619      104.094    -0.636488
      1.0472      8.59693      88.1959    -0.622091
      1.0472      9.00628      74.5373    -0.607375
      1.0472      9.43512      62.9318    -0.592847
      1.0472      9.88438      53.0867    -0.578531
      1.0472       10.355      44.7093    -0.564145
      1.0472      10.8481      37.5933    -0.549667
      1.0472      11.3646      31.5773    -0.535293
      1.0472      11.9058      26.4958    -0.520991
      1.0472      12.4727      22.2069    -0.506723
      1.0472      13.0666      18.5924    -0.492496
      1.0472      13.6887      15.5531    -0.478381
      1.0472      14.3405      13.0036    -0.464483
      1.0472      15.0234      10.8685    -0.450873
      1.0472      15.7387      9.08282    -0.437619
      1.0472      16.4881      7.59058    -0.424758
      1.0472      17.2732      6.34381    -0.412298
      1.0472      18.0957      5.30237    -0.400246
      1.0472      18.9574      4.43246    -0.388601
      1.0472        19.86       3.7054    -0.377317
      1.0472      20.8057      3.09735    -0.366339
      1.0472      21.7964      2.58867    -0.355624
      1.0472      22.8342      2.16316    -0.345162
      1.0472      23.9215      1.80746     -0.33498
      1.0472      25.0605      1.51024      -0.3251
      1.0472      26.2538       1.2619    -0.315513
      1.0472      27.5039       1.0544    -0.306212
      1.0472      28.8135     0.881025    -0.297192
      1.0472      30.1855     0.736131    -0.288425
      1.0472      31.6228      0.61505    -0.279907
#   Phi[rad]  Energy[keV]            I          Q/I
       1.309     0.316228      1079.31    -0.856873
       1.309     0.331285         1106    -0.855735
       1.309      0.34706      1127.93    -0.854192
       1.309     0.363585      1144.73    -0.852242
       1.309     0.380897      1156.27    -0.849907
       1.309     0.399034       1162.6    -0.847233
       1.309     0.418034      1164.27    -0.844341
       1.309      0.43794      1162.04    -0.841354
       1.309     0.458792      1156.58    -0.838263
       1.309     0.480638      1148.49    -0.834892
       1.309     0.503524      1138.69    -0.830755
       1.309       0.5275      1128.25    -0.825175
       1.309     0.552617      1119.04    -0.817839
       1.309      0.57893      1112.82    -0.806398
       1.309     0.606496      1111.54    -0.781636
       1.309     0.635375      1116.83    -0.790352
       1.309     0.665629      1130.77    -0.835425
       1.309     0.697324       1154.8    -0.825679
       1.309     0.730527      1190.83    -0.826568
       1.309     0.765312       1239.2    -0.827111
       1.309     0.801753      1299.37    -0.825971
       1.309     0.839929       1368.9    -0.832871
       1.309     0.879923      1444.78    -0.839935
       1.309     0.921821      1524.33     -0.84251
       1.309     0.965714       1605.2    -0.848156
